ProductName,ProductID,Brand,Price,DiscountedPrice,Category,Quantity
al-afandi 1000W_Black Electric Cooktop Hotplate/ Cookin...,2,,"1,129",,Induction,
al-afandi 1000W_Grey Electric Cooktop Hotplate/ Cooking...,4,,"1,129",,Induction,
al-afandi 1000W_Blue Electric Cooktop Hotplate/ Cooking...,3,,"1,129",,Induction,
USHA IC 3616 Induction Cooktop,521,,"2,499",,Induction,
Airex by Airex AE-203 Radiant Cooktop,1,,"1,749",,Induction,
INNYEXPLORE IE-Coil Induction Induction Cooktop,236,,"1,424",,Induction,
INNYEXPLORE by Inny Explore IE-HP+Coil Induction Cookto...,231,,"1,979",,Induction,
INNYEXPLORE by Inny Explore IE-New Induction-Silver2 In...,235,,"1,480",,Induction,
INNYEXPLORE by Inny Explore IE-HP+Coil1 Induction Cookt...,232,,"1,948",,Induction,
VIDS 2000 Watt Exclusive Coil Electric Stove/Induction ...,531,,"1,899",,Induction,
VIDS 1000 Watt Exclusive Coil Electric Stove/Induction ...,529,,"1,299",,Induction,
VIDS 1250 Watt Exclusive Coil Electric Stove/Induction ...,530,,"1,529",,Induction,
electromate Portable 2000 Watts Electric G Coil Cooking...,131,,"1,299",,Induction,
Faith Shoppe 1800 Watt 4 Ring Circular Tubular Heater C...,150,,371,,Induction,
Faith Shoppe 2200 Watt 5 Ring Circular Tubular Heater C...,151,,409,,Induction,
Faith Shoppe EM-HP 102 Black Induction Hotplate Gcoil E...,152,,"1,199",,Induction,
Sid23Mart EM-HP 102 White Induction Gcoil Electric Heat...,441,,"1,499",,Induction,
Trishays Shop4All EM-HP 102 White Induction Gcoil Elect...,508,,"1,599",,Induction,
Sid23Mart 1000 Watt 3 Ring Circular Tubular Heater Coil...,438,,315,,Induction,
Faith Shoppe Portable 2000 Watts Electric G Coil Cookin...,154,,"1,499",,Induction,
electromate 1800 Watt 4 Ring Circular Tubular Heater Co...,129,,390,,Induction,
Sid23Mart 1800 Watt 4 Ring Circular Tubular Heater Coil...,439,,371,,Induction,
Sid23Mart 2200 Watt 5 Ring Circular Tubular Heater Coil...,440,,409,,Induction,
Geico master 1500 Watts Solid Heavy Body (2 KG) Electri...,183,,"1,804",,Induction,
Faith Shoppe EM-HP 102 White Induction Hotplate Gcoil E...,153,,"1,199",,Induction,
EETRON 1250 Watts Induction Stove | Electric Induction ...,126,,"1,400",,Induction,
EETRON 2000 Watts Induction Electric Stove | Cooking He...,127,,"1,800",,Induction,
Poweronic SC-C102 Induction Cooktop,404,,"1,199",,Induction,
Puff Smart HHPB_100WATT Radiant Cooktop,410,,"1,299",,Induction,
electromate 2000 Watt G Coil Hot Plate Heating Element ...,130,,549,,Induction,
electromate 1250 Watt G Coil Hot Plate Heating Element ...,128,,499,,Induction,
al-afandi 500W_Red Small Size Cooktop Hotplate/ Coil He...,8,,939,,Induction,
INNYEXPLORE by Inny Explore IE-New Induction-Grey Induc...,234,,"1,750",,Induction,
INNYEXPLORE by Inny Explore IE-Ind-Hot Smart Induction ...,233,,"1,799",,Induction,
IGE Induction Electric G Coil Cooking Heater/Single Gas...,227,,"1,599",,Induction,
Faith Shoppe White 1000 Watt+1000 Watts G-Coil Electric...,155,,"1,999",,Induction,
Nova Plus Amaze NI 20 1100 W Dry Iron,349,,494,,Iron_box,
Syska SDI-08 1000 W Dry Iron,458,,539,,Iron_box,
Nova Plus Amaze NI 10 1100 W Dry Iron,348,,429,,Iron_box,
BAJAJ Popular 1000 Watts 1000 W Dry Iron,36,,499,,Iron_box,
Orient Electric by orient Fabri Press DIFP10BP 1000 W D...,361,,549,,Iron_box,
Bajaj DX 2 L/W Dry Iron,23,,549,,Iron_box,
BAJAJ Majesty DX 6 1000 W Dry Iron,30,,649,,Iron_box,
Syska SDI-600 600 W Dry Iron,460,,469,,Iron_box,
USHA ArmorAR1100WB 1100 W Dry Iron,516,,599,,Iron_box,
Syska SDI-07 1000 W Dry Iron,456,,499,,Iron_box,
USHA EI 1602 1000 W Dry Iron,518,,649,,Iron_box,
"Syska SDI-450 Heavy Duty German Non-Stock Coating, Auto...",459,,899,,Iron_box,
BAJAJ Majesty DX 11 1000 W Dry Iron,29,,599,,Iron_box,
BAJAJ Majesty DX 11 1000 W Dry Iron,29,,765,,Iron_box,
PHILIPS GC097 750 W Dry Iron,370,,725,,Iron_box,
"Syska SSI 1400 ORRA with 15 Steaming Holes, 180ml Water...",462,,999,,Iron_box,
Syska by Syska ELARA SDI-200 1000 W Dry Iron,453,,540,,Iron_box,
Syska SDI-850 800 W Dry Iron,461,,499,,Iron_box,
Sansui Neo 1000 W Dry Iron,431,,349,,Iron_box,
Briqre Stylo Electric Dry Iron 1000 W Dry Iron,63,,599,,Iron_box,
PHILIPS GC1903 1440 W Steam Iron,371,,"1,599",,Iron_box,
BAJAJ DX 7 Light Weight 1000 W Dry Iron,24,,842,,Iron_box,
HAVELLS glydo 1000 W Dry Iron,200,,799,,Iron_box,
Warmex Home Appliances OTSI-2200 One Temperature 2200 W...,535,,"2,999",,Iron_box,
BAJAJ DX 2 600 W Dry Iron,22,,549,,Iron_box,
LE - EASE LITE D-55 Iron Non Stick Coated ideal for you...,265,,350,,Iron_box,
BAJAJ Majesty DHX9 1000 W Dry Iron,28,,"1,199",,Iron_box,
HAVELLS TINYO PRO 1250 W Steam Iron,203,,"1,249",,Iron_box,
PHILIPS GC090 750 W Dry Iron,369,,690,,Iron_box,
USHA heavy weight iron heavy weigt 1.75 kg 1000 W Dry I...,520,,"1,158",,Iron_box,
BAJAJ DX 2 600 W Dry Iron,22,,620,,Iron_box,
Briqre Glory Light Weight Dry Iron 1000 W Dry Iron,62,,448,,Iron_box,
PHILIPS GC 181 1000 W Dry Iron,368,,"1,399",,Iron_box,
Chartbusters USA LIGHT WEIGHT NEW DESIGN P-016 750 W Dr...,75,,284,,Iron_box,
HAVELLS Era 1000 W Dry Iron,199,,899,,Iron_box,
Nova Plus NI 150 Heavy Weight 1100 W Dry Iron,350,,839,,Iron_box,
Flipkart SmartBuy 1000 W Dry Iron,163,,449,,Iron_box,
Crompton ACGEI-INSTAGLIDE 1000 W Dry Iron,86,,803,,Iron_box,
HAVELLS HAWK HEAVY WEIGHT 1100 W INSTANT DRY IRON SUPER...,201,,"1,079",,Iron_box,
Hunar Cream Color Plancha 750 W Dry Iron,222,,849,,Iron_box,
Logitech MK240 Wireless Keyboard and Mouse Combo,273,,"1,595",,Keyboard,
HP 330 Mouse & Keyboard Combo Wireless Desktop Keyboard,219,,"1,249",,Keyboard,
KITECH KB-011 Wired USB Multi-device Keyboard,242,,279,,Keyboard,
ZEBRONICS Zeb-K20 Wired USB Desktop Keyboard,555,,398,,Keyboard,
ZEBRONICS K-35 Wired USB Multi-device Keyboard,548,,398,,Keyboard,
Zoook Concord Wired USB Desktop Keyboard,581,,542,,Keyboard,
DELL KB 216 Wired USB Desktop Keyboard,99,,549,,Keyboard,
"Logitech K380 / Easy-Switch for Upto 3 Devices, Slim Bl...",269,,"2,495",,Keyboard,
Portronics Key5 Combo POR-1569 Wireless Laptop Keyboard,383,,899,,Keyboard,
"DELL KM3322W Keyboard & Mouse Combo, Anti-fade & Spill-...",100,,"1,399",,Keyboard,
ZEBRONICS Zeb-K25 Wired USB Desktop Keyboard Wired USB ...,557,,299,,Keyboard,
Portronics POR-373 Key2 & Mouse Combo Wireless Laptop K...,393,,"1,099",,Keyboard,
Logitech MK270r Wireless Combo Keyboard,274,,"1,199",,Keyboard,
Portronics POR-1658 / Key5 / Silent Mouse & Combo Wirel...,392,,899,,Keyboard,
ZEBRONICS Zeb-Judwaa 750 & Mouse Combo Wired USB Deskto...,554,,499,,Keyboard,
Tvs Electronics Gold Prime Keyboard Wired USB Desktop K...,511,,"2,680",,Keyboard,
HP 150 Wired Mouse and Keyboard Wired USB Multi-device ...,213,,849,,Keyboard,
ZEBRONICS ZEB-KM-2100 Wired USB Desktop Keyboard,558,,329,,Keyboard,
KITECH KB-021 Wired USB Multi-device Keyboard,243,,299,,Keyboard,
Portronics KI-Pad Wired USB Laptop Keyboard,385,,499,,Keyboard,
HP 150 Wired Wired USB Desktop Keyboard,215,,649,,Keyboard,
Ant Value FKBRI01 Wired USB Multi-device Keyboard,16,,299,,Keyboard,
ZEBRONICS Zeb Companion 200 Wireless Combo with Silent ...,552,,"1,049",,Keyboard,
Portronics Key2 Combo Wireless Mouse & Multimedia Wirel...,382,,"1,099",,Keyboard,
"Flipkart SmartBuy IG9100, Keyboard & Mouse Combo- Wirel...",166,,899,,Keyboard,
ZEBRONICS Zeb Companion 200 Wireless Combo with Silent ...,552,,999,,Keyboard,
"Portronics Bubble, POR1677 Bluetooth, Wireless Laptop K...",381,,999,,Keyboard,
"Portronics Key5 Combo, POR 1407 Wireless Laptop Keyboar...",384,,899,,Keyboard,
ZEBRONICS JUDWAA 555 Combo Mouse and Wired USB Laptop K...,546,,499,,Keyboard,
QUANTUM QHM 7406 Wired USB Multi-device Keyboard,411,,299,,Keyboard,
"Logitech MK235 Mouse & Keyboard Combo, Full-Sized, 15 F...",272,,"1,495",,Keyboard,
Topmate KM9000SW Ultra Silent Wireless Keyboard and 240...,471,,"2,644",,Keyboard,
Elista ELS WK-711 Wired USB Multi-device Keyboard,132,,379,,Keyboard,
ZEBRONICS Zeb K35 and Zeb Rise Keyboard & Mouse Combo W...,553,,649,,Keyboard,
Flipkart SmartBuy YKM3136 Wired USB Laptop Keyboard and...,172,,592,,Keyboard,
Tvs Electronics Champ Elite Wireless Combo Wireless Des...,510,,"1,149",,Keyboard,
"ZEBRONICS ZEB-K24 slim design, retractable stand, 1.5 m...",556,,349,,Keyboard,
HP CK420U Wired USB Multi-device Keyboard,220,,699,,Keyboard,
Logitech MK240 Wireless Keyboard and Mouse Combo,273,,"1,595",,Keyboard,
Arctic Fox FAFCOMTRAWW00401E Wired USB Desktop Keyboard,17,,699,,Keyboard,
Fendo Polyester 35 LTR Black Orange Rain and Dust Cover...,162,,199,,Laptop_bags,
"Tripole Rain Cover Dust Proof, Waterproof Trekking Bag ...",507,,399,,Laptop_bags,
WENYOU Rain Cover with Zipper pouch for wet cover Water...,537,,190,,Laptop_bags,
ZOXAR Laptop Padded Bag Nylon Sleeve Case Cover Pouch f...,582,,414,,Laptop_bags,
EUME Polyester 35 LTR Black Orange Rain and Dust Cover ...,140,,325,,Laptop_bags,
"MUTMAIN 30L to 40L Waterproof School bag , Laptop Bag C...",325,,289,,Laptop_bags,
"VAMSUM VSRC0002 Waterproof, Dust Proof Laptop Bag Cover...",528,,190,,Laptop_bags,
"F GEAR Repel Rain cover Waterproof, Dust Proof Laptop B...",146,,379,,Laptop_bags,
"VIHAAN RAIN & DUST COVER BLACK Waterproof, Dust Proof S...",532,,190,,Laptop_bags,
Hapzz Laptop Cover 15.6 inch for Lenovo IdeaPad S145 Wa...,196,,899,,Laptop_bags,
"MUTMAIN 65L to 80L Waterproof Trekking, camping, Hiking...",327,,380,,Laptop_bags,
Bulfyss Rubberized 100% Waterproof Dust Proof Rain Cove...,65,,349,,Laptop_bags,
WESTZONE Water proof backpack rain cover laptop bag rai...,538,,190,,Laptop_bags,
RC REXCUIR Rain and Dust Cover with Pouch |100% Waterpr...,413,,269,,Laptop_bags,
Fambal Waterproof/Dustproof Rain Backpack Cover with An...,156,,249,,Laptop_bags,
"MUTMAIN 45L to 60L Waterproof Trekking, camping, Hiking...",326,,289,,Laptop_bags,
NASHER MILES Black Backpack Rain Cover Waterproof Lapto...,329,,299,,Laptop_bags,
"Swanita Swar bag pack of 3 Waterproof, Dust Proof Schoo...",446,,323,,Laptop_bags,
"F GEAR Silver Small Rain Cover Waterproof, Dust Proof S...",147,,299,,Laptop_bags,
MUTMAIN 30L to 40L Rain Cover for Bag (Navy Blue) Water...,323,,249,,Laptop_bags,
"MUTMAIN 45L to 60L Waterproof Trekking, camping, Hiking...",326,,299,,Laptop_bags,
InfiDeals 14 Inch Sleeve/Slip Case Laptop Bag Cover,230,,259,,Laptop_bags,
D25 Protective Reversible 39.62 cm (15.6 Inch) Laptop S...,96,,219,,Laptop_bags,
The Furnishing Tree Laptop Sleeve Case Pouch for 15.6 t...,469,,305,,Laptop_bags,
"MUTMAIN 30L to 40L Waterproof School bag , Laptop Bag C...",325,,299,,Laptop_bags,
The Furnishing Tree Laptop Sleeve Case Pouch for 12 to ...,468,,236,,Laptop_bags,
"Tripole Rain Cover Dust Proof, Waterproof Luggage Bag C...",506,,399,,Laptop_bags,
"MUTMAIN 30L to 40L Waterproof Laptop bag , School Bag C...",324,,249,,Laptop_bags,
SHARABANI Backpack Rain Cover Waterproof Backpack Cove ...,433,,169,,Laptop_bags,
"SSD Quality Water Proof Dust , Snow ,Mud .Rain cover fo...",443,,213,,Laptop_bags,
"ZIPLINE Rain & Dust Cover For Backpack Dust Proof, Wate...",578,,399,,Laptop_bags,
SHARABANI 100% Waterproof Dust Proof Rain Cover for Bac...,432,,199,,Laptop_bags,
"ZIPLINE Rain & Dust Cover For Backpack Dust Proof, Wate...",578,,249,,Laptop_bags,
"Deepsum RCBK01 Dust Proof, Waterproof Laptop Bag Cover,...",98,,190,,Laptop_bags,
Goldstar Rain & Dust Cover For Backpack Waterproof Lapt...,193,,210,,Laptop_bags,
"MUTMAIN 65L to 80L Waterproof Trekking, camping, Hiking...",327,,380,,Laptop_bags,
"DBK Best Quality Water Proof Dust , Snow ,Mud .Rain Cov...",97,,190,,Laptop_bags,
Viviza Backpack-Rain-Dust-Cover Waterproof Laptop Bag C...,533,,249,,Laptop_bags,
Riddhi Imperial Backpack Rain & Dust Bag Cover with Car...,422,,249,,Laptop_bags,
harddo Polyester Rain Cover with Pouch for School Bags ...,197,,565,,Laptop_bags,
D-Link DIR-615 Wireless N 300 Router,113,,799,,Mobile_charger,
D-Link DIR-825 AC1200 Wi-Fi Gigabit 1200 Mbps Wireless ...,115,,"1,699",,Mobile_charger,
D-Link DIR-819 750 Mbps Wireless Router,114,,"2,299",,Mobile_charger,
Mi Router 4A Gigabit Edition 1200 Mbps Router,307,,"1,399",,Mobile_charger,
TP-Link TL-WR845N N 300 mbps Wireless Router,503,,"1,099",,Mobile_charger,
TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Ro...,481,,"2,599",,Mobile_charger,
TP-Link Archer C20 AC WiFi 750 MBPS Wireless Router,477,,"1,599",,Mobile_charger,
TP-Link TL-WR940N Wireless N 450 Mbps Wireless Router,505,,"1,399",,Mobile_charger,
TP-Link Archer C50 AC1200 Wireless Dual Band 1200 Mbps ...,479,,"1,999",,Mobile_charger,
TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender,497,,"1,399",,Mobile_charger,
TP-Link Archer C24 Multi-Mode 750 Mbps Wireless Router,478,,"1,499",,Mobile_charger,
TP-Link TL-WR820N 300 Mbps Wireless Router,498,,899,,Mobile_charger,
TP-Link RE200 750 Mbps WiFi Range Extender,489,,"1,889",,Mobile_charger,
TP-Link TL-WR840N 300 Mbps Wireless Router,499,,"1,149",,Mobile_charger,
TP-Link Archer c60(us) 1350 Mbps Wireless Router,482,,"2,299",,Mobile_charger,
TP-Link Archer C64 AC1200 Gigabit MU-MIMO 1200 Mbps Rou...,483,,"2,399",,Mobile_charger,
TP-LINK TL-WR841N 300Mbps Wireless N Router,501,,"1,049",,Mobile_charger,
TP-Link TL-WR844N N300 Multi-Mode 300 Mbps Wireless Rou...,502,,929,,Mobile_charger,
TP-Link Archer C80 1900 Mbps Wireless MU-MIMO Router,484,,"3,199",,Mobile_charger,
Mercusys MR50G 1900 Mbps Wireless Router,297,,"2,999",,Mobile_charger,
TP-Link Archer A6 V3 1200 Mbps Wireless MU-MIMO Gigabit...,473,,"2,499",,Mobile_charger,
TP-Link Archer A6 1200 Mbps Wireless Router,472,,"2,599",,Mobile_charger,
TP-Link Archer AX10 1500 Mbps Wi-Fi 6 Router,474,,"3,999",,Mobile_charger,
TP-LINK TL-MR3020 Portable 3G/3.75G/4G Wireless N Route...,494,,"1,399",,Mobile_charger,
TP-Link RE305 1200 Mbps WiFi Range Extender,491,,"2,499",,Mobile_charger,
TP-Link TL-WR840N Wi-Fi 300 Mbps Wireless Router,500,,"1,149",,Mobile_charger,
TP-Link Archer AXE75 5400 Mbps Wireless Router,476,,"13,999",,Mobile_charger,
TP-Link archer mr200 (EU) 750 Mbps 4G Router,485,,"5,199",,Mobile_charger,
TP-Link Archer C54 AC1200 1200 Mbps Wireless Router,480,,"1,899",,Mobile_charger,
TP-Link RE205 750 mbps WiFi Range Extender,490,,"2,099",,Mobile_charger,
TP-Link MR600 1200 Mbps 4G Router,488,,"8,999",,Mobile_charger,
TP-LINK TL-MR3420 3G/4G Wireless N Router,495,,"1,699",,Mobile_charger,
TP-Link Deco S7 AC1900 1900 Mbps Mesh Router,487,,"12,999",,Mobile_charger,
TP-LINK TD-W8961N 300Mbps ADSL2 Wireless with ModemRout...,492,,"1,549",,Mobile_charger,
TP-Link TL-MR100 300 Mbps 4G Router,493,,"3,699",,Mobile_charger,
Mercusys MW325R 300 Mbps Enhanced Wireless Wi-Fi Router,298,,"1,099",,Mobile_charger,
TP-Link Deco M5(3-Pack) AC1300 Whole Home 1300 Mbps Mes...,486,,"13,999",,Mobile_charger,
TP-Link Archer AX23 AX1800 Wi-Fi 6 1800 Mbps Wireless R...,475,,"4,699",,Mobile_charger,
D-Link DIR-X6060 6000 Mbps Mesh Router,116,,"21,374",,Mobile_charger,
"TP-Link TL-PoE15OS PoE Injector,IEEE 802.3af Complaint ...",496,,"1,349",,Mobile_charger,
"Portronics Toad 22, POR 1612 Wireless Optical Mouse",397,,279,,Mouse,
Portronics Toad 14 Wireless Optical Mouse,396,,329,,Mouse,
"Logitech B175 / Optical Tracking, 12-Months Battery Lif...",268,,649,,Mouse,
Flipkart SmartBuy Power Wired Optical Mouse,169,,169,,Mouse,
HP 250 Wireless Optical Mouse,218,,577,,Mouse,
DELL MS 116 Wired Optical Mouse,101,,309,,Mouse,
Logitech B100 Wired Optical Mouse,267,,269,,Mouse,
"Portronics Toad 13, POR 1382 Wireless Optical Mouse",395,,329,,Mouse,
ZEBRONICS Comfort Wired Optical Mouse,543,,139,,Mouse,
ZEBRONICS ZEB-RISE Wired Optical Mouse,560,,225,,Mouse,
"Portronics Toad 13, POR 1381 Wireless Optical Mouse",394,,329,,Mouse,
Logitech MX Master 3s Wireless Hybrid Mouse,275,,"9,494",,Mouse,
ZEBRONICS ZEB-RISE Wired Optical Mouse,560,,99,,Mouse,
ZEBRONICS ALEX Wired Optical Mouse,540,,139,,Mouse,
"Portronics Toad 24, POR 1611 Wireless Optical Mouse",398,,343,,Mouse,
HP x500 Wired Optical Mouse,221,,399,,Mouse,
Portronics Toad 27 Silent Buttons Wireless Optical Mous...,400,,333,,Mouse,
Elista ELS WM501 Wired Optical Mouse,133,,149,,Mouse,
"Zoook Blade / Rechargeable, 7 Color RGB, Silent Wireles...",579,,482,,Mouse,
HP 150 Wired Mouse Wired Optical Mouse,214,,327,,Mouse,
"Logitech M171 / Optical Tracking, Ambidextrous Wireless...",270,,557,,Mouse,
ZEBRONICS ALEX Wired Optical Mouse,540,,239,,Mouse,
"Zoook Blade / Rechargeable, 7 Color RGB, Silent Wireles...",579,,444,,Mouse,
HP 200 Wireless Optical Mouse,216,,599,,Mouse,
Portronics Toad 27 Silent Buttons Wireless Optical Mous...,400,,333,,Mouse,
Logitech M171 Wireless Optical Mouse,271,,595,,Mouse,
Logitech M171 Wireless Optical Mouse,271,,595,,Mouse,
HP 240 Wireless Optical Mouse  with Bluetooth,217,,699,,Mouse,
Lenovo KB MICE_BO 300 USB Mouse Wired Optical Mouse,266,,265,,Mouse,
realme Silent Click with DPI Adjustment Wireless Optica...,415,,499,,Mouse,
"Zoook Blade / Rechargeable, 7 Color RGB, Silent Wireles...",579,,489,,Mouse,
Flipkart SmartBuy YH1053 Wireless Optical Mouse,171,,319,,Mouse,
"Logitech M171 / Optical Tracking, Ambidextrous Wireless...",270,,595,,Mouse,
"Logitech M171 / Optical Tracking, Ambidextrous Wireless...",270,,595,,Mouse,
DELL WM118 Wireless Optical Mouse,102,,649,,Mouse,
"Portronics Toad 27 , POR 1738 Wireless Optical Mouse",399,,393,,Mouse,
Zoook Bomber Wired Optical Mouse,580,,449,,Mouse,
ZEBRONICS Zeb-Power Wired Optical Mouse,559,,149,,Mouse,
"Zoook Blade / Rechargeable, 7 Color RGB, Silent Wireles...",579,,499,,Mouse,
"AMKETTE Acura Silent Switch, 3 DPI Settings, Smart Auto...",15,,349,,Mouse,
"Mi 3i 20000 mAh Power Bank (Fast Charging, 18W)",305,,"2,099",,Power_bank,
"Syska 10000 mAh Power Bank (12 W, Fast Charging)",448,,879,,Power_bank,
"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)",304,,"1,299",,Power_bank,
"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)",304,,"1,299",,Power_bank,
Syska 10000 mAh Power Bank (Fast Charging),451,,799,,Power_bank,
Genuily 20000 mAh Power Bank (Quick Charge 4.0),185,,499,,Power_bank,
Genuily 20000 mAh Power Bank (Quick Charge 4.0),185,,499,,Power_bank,
"Callmate 30000 mAh Power Bank (15 W, Fast Charging)",71,,"1,590",,Power_bank,
"Mi 10000 mAh Power Bank (22.5 W, Fast Charging)",302,,"1,699",,Power_bank,
"Syska 10000 mAh Power Bank (18 W, Fast Charging)",449,,899,,Power_bank,
nwb 30000 mAh Power Bank,351,,599,,Power_bank,
"REDMI 10000 mAh Power Bank (10 W, Fast Charging)",417,,"1,199",,Power_bank,
"Syska 20000 mAh Power Bank (18 W, Fast Charging)",452,,"1,549",,Power_bank,
Genuily 20000 mAh Power Bank,184,,499,,Power_bank,
"Ambrane 10000 mAh Power Bank (20 W, Quick Charge 3.0, P...",10,,949,,Power_bank,
Syska 10000 mAh Power Bank,447,,"1,599",,Power_bank,
"Ambrane 10000 mAh Power Bank (20 W, Quick Charge 3.0, P...",10,,949,,Power_bank,
"Ambrane 10000 mAh Power Bank (20 W, Quick Charge 3.0, P...",10,,949,,Power_bank,
Iqoniqe 20000 mAh Power Bank (18 W),237,,599,,Power_bank,
"Callmate 80000 mAh Power Bank (15 W, Fast Charging)",72,,"3,599",,Power_bank,
"Ambrane 20000 mAh Power Bank (20 W, Power Delivery 3.0,...",11,,"1,799",,Power_bank,
"Ambrane 20000 mAh Power Bank (20 W, Power Delivery 3.0,...",11,,"1,824",,Power_bank,
"Ambrane 20000 mAh Power Bank (20 W, Power Delivery 3.0,...",11,,"1,899",,Power_bank,
"Callmate 10000 mAh Power Bank (12 W, Fast Charging)",67,,799,,Power_bank,
"ORAIMO 20000 mAh Power Bank (12 w, Fast Charging)",360,,"1,099",,Power_bank,
"ORAIMO 20000 mAh Power Bank (12 w, Fast Charging)",360,,"1,099",,Power_bank,
"ORAIMO 20000 mAh Power Bank (12 w, Fast Charging)",360,,"1,099",,Power_bank,
"ORAIMO 10000 mAh Power Bank (12 W, Fast Charging)",359,,799,,Power_bank,
"Ambrane 10000 mAh Power Bank (12 W, Fast Charging)",9,,899,,Power_bank,
"Mi 30000 mAh Power Bank (18 W, Fast Charging, Power Del...",303,,"3,499",,Power_bank,
"Syska 10000 mAh Power Bank (18 W, Quick Charge 3.0)",450,,899,,Power_bank,
"Callmate 10000 mAh Power Bank (23 W, Power Delivery 3.0...",70,,"1,399",,Power_bank,
Genuily 20000 mAh Power Bank (Quick Charge 4.0),185,,499,,Power_bank,
PBNOSA 40000 mAh Power Bank,365,,599,,Power_bank,
"Ambrane 27000 mAh Power Bank (20 W, Quick Charge 3.0, P...",12,,"2,299",,Power_bank,
"Callmate 10000 mAh Power Bank (15 W, Fast Charging)",68,,899,,Power_bank,
"Ambrane 27000 mAh Power Bank (20 W, Quick Charge 3.0, P...",12,,"2,299",,Power_bank,
"realme 10000 mAh Power Bank (12 W, Fast Charging)",414,,"1,499",,Power_bank,
"realme 10000 mAh Power Bank (12 W, Fast Charging)",414,,"1,499",,Power_bank,
"Callmate 10000 mAh Power Bank (23 W, Fast Charging, Pow...",69,,"1,199",,Power_bank,
D-Link DIR-615 Wireless N 300 Router,113,,799,,Routers,
D-Link DIR-825 AC1200 Wi-Fi Gigabit 1200 Mbps Wireless ...,115,,"1,699",,Routers,
D-Link DIR-819 750 Mbps Wireless Router,114,,"2,299",,Routers,
Mi Router 4A Gigabit Edition 1200 Mbps Router,307,,"1,399",,Routers,
TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Ro...,481,,"2,599",,Routers,
TP-Link Archer C20 AC WiFi 750 MBPS Wireless Router,477,,"1,599",,Routers,
TP-Link Archer C50 AC1200 Wireless Dual Band 1200 Mbps ...,479,,"1,999",,Routers,
Mercusys MR50G 1900 Mbps Wireless Router,297,,"2,999",,Routers,
TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender,497,,"1,399",,Routers,
TP-Link TL-WR820N 300 Mbps Wireless Router,498,,899,,Routers,
TP-Link Archer C24 Multi-Mode 750 Mbps Wireless Router,478,,"1,499",,Routers,
"TP-Link TL-PoE15OS PoE Injector,IEEE 802.3af Complaint ...",496,,"1,349",,Routers,
TP-Link RE200 750 Mbps WiFi Range Extender,489,,"1,889",,Routers,
TP-Link TL-WR840N 300 Mbps Wireless Router,499,,"1,149",,Routers,
TP-Link Archer c60(us) 1350 Mbps Wireless Router,482,,"2,299",,Routers,
TP-Link TL-WR940N Wireless N 450 Mbps Wireless Router,505,,"1,399",,Routers,
TP-LINK TL-WR841N 300Mbps Wireless N Router,501,,"1,049",,Routers,
TP-Link TL-WR844N N300 Multi-Mode 300 Mbps Wireless Rou...,502,,929,,Routers,
TP-Link Archer C80 1900 Mbps Wireless MU-MIMO Router,484,,"3,199",,Routers,
TP-LINK TL-MR3020 Portable 3G/3.75G/4G Wireless N Route...,494,,"1,399",,Routers,
TP-Link Archer A6 V3 1200 Mbps Wireless MU-MIMO Gigabit...,473,,"2,499",,Routers,
TP-Link Archer A6 1200 Mbps Wireless Router,472,,"2,599",,Routers,
TP-Link Archer AX10 1500 Mbps Wi-Fi 6 Router,474,,"3,999",,Routers,
TP-Link Archer C64 AC1200 Gigabit MU-MIMO 1200 Mbps Rou...,483,,"2,399",,Routers,
TP-Link RE305 1200 Mbps WiFi Range Extender,491,,"2,499",,Routers,
TP-Link TL-WR840N Wi-Fi 300 Mbps Wireless Router,500,,"1,149",,Routers,
TP-Link Archer AXE75 5400 Mbps Wireless Router,476,,"13,999",,Routers,
TP-LINK TL-MR3420 3G/4G Wireless N Router,495,,"1,699",,Routers,
TP-Link Archer C54 AC1200 1200 Mbps Wireless Router,480,,"1,899",,Routers,
TP-Link RE205 750 mbps WiFi Range Extender,490,,"2,099",,Routers,
TP-Link MR600 1200 Mbps 4G Router,488,,"8,999",,Routers,
TP-Link archer mr200 (EU) 750 Mbps 4G Router,485,,"5,199",,Routers,
TP-Link Deco S7 AC1900 1900 Mbps Mesh Router,487,,"12,999",,Routers,
TP-LINK TD-W8961N 300Mbps ADSL2 Wireless with ModemRout...,492,,"1,549",,Routers,
TP-Link TL-MR100 300 Mbps 4G Router,493,,"3,699",,Routers,
Mercusys MW325R 300 Mbps Enhanced Wireless Wi-Fi Router,298,,"1,099",,Routers,
TP-Link Deco M5(3-Pack) AC1300 Whole Home 1300 Mbps Mes...,486,,"13,999",,Routers,
TP-Link Archer AX23 AX1800 Wi-Fi 6 1800 Mbps Wireless R...,475,,"4,699",,Routers,
D-Link DIR-X6060 6000 Mbps Mesh Router,116,,"21,374",,Routers,
TP-link TL-WR902AC 750 Mbps Wireless Travel Router,504,,"1,999",,Routers,
iVoltaa PROGEN Flash Light Tripod with Detachable Remot...,238,,499,,Selfie_sticks,
